Year,Hr Rate bread (kg)
1200,0.8536097849
1210,0.5855863225
1220,0.5098887415
1230,0.5146581623
1240,0.5173323727
1250,0.5018683294
1260,0.5200724504
1270,0.348920788
1280,0.4324547902
1290,0.3341228082
1300,0.4174587999
1310,0.2990749611
1320,0.3779975203
1330,0.4761515726
1340,0.4800138966
1350,0.6614956606
1360,0.6775723186
1370,0.6917792457
1380,0.9821738848
1390,0.8960303915
1400,0.9314938894
1410,0.9108690247
1420,1.096401647
1430,0.8841297933
1440,1.140223289
1450,1.06911239
1460,0.9985904642
1470,0.9611936946
1480,0.8517007958
1490,0.9735741012
1500,0.8368766062
1510,0.86071057
1520,0.6573312811
1530,0.5827949385
1540,0.6292860127
1550,0.4989567268
1560,0.6629329135
1570,0.6348828503
1580,0.5457236928
1590,0.3902204131
1600,0.4238381739
1610,0.3803838683
1620,0.4003176798
1630,0.35556719
1640,0.3665114078
1650,0.4167876589
1660,0.4403048039
1670,0.4288426903
1680,0.497127058
1690,0.3733404667
1700,0.4970718062
1710,0.4221863593
1720,0.4331710714
1730,0.5739043889
1740,0.5463782339
1750,0.4824558515
1760,0.4640894823
1770,0.4198708158
1780,0.4387271869
1790,0.4207101402
1800,0.3654394632
1810,0.3920267608
1820,0.5170720797
1830,0.5451887313
1840,0.5438009781
1850,0.6341405769
1860,0.6858591604
1870,0.67962452
1880,0.7624905635
1890,1.104140893
1900,1.294039471
1905,1.309664486
1910,1.255555144
1918,1.341991342
1920,1.3675
1925,1.754385965
1931,2.628205128
1935,2.678571429
1940,2.469791667
1945,3.921568627
1950,4.15879017
1955,3.693314633
1960,2.777777778
1965,2.724014337
1970,3.6
1975,3.579545455
1980,3.078787879
1985,3.82
1990,3.952
1995,4.369230769
2000,5.692307692
2005,5.690140845
2010,3.953333333
2015,5.153846154
2020,6.605714286