,Region,Year,Population,GDP per capita (OWiD),Government Expenditure (IMF & Wiki),Country
0,Africa,1913,6397751.0,981.6684081551132,18.81766,Africa_avg
1,Africa,1914,6501260.0,1139.5398109777714,25.63031,Africa_avg
2,Africa,1915,6606440.0,1385.4106489734609,27.1596,Africa_avg
3,Africa,1916,6713319.0,1586.403773797384,19.04958,Africa_avg
4,Africa,1917,6821924.0,1742.885254158436,19.24267,Africa_avg
5,Africa,1918,6927689.0,1854.0,19.67305,Africa_avg
6,Africa,1919,7042968.0,1920.2370326697976,18.39842,Africa_avg
7,Africa,1920,7168076.0,1941.596352167829,21.2115,Africa_avg
8,Africa,1921,7303334.0,1917.9519754562264,23.43378,Africa_avg
9,Africa,1922,7449070.0,1900.552512492401,24.0046,Africa_avg
10,Africa,1923,7605625.0,1940.2351873403256,22.18445,Africa_avg
11,Africa,1924,7765470.0,2037.0,21.22802,Africa_avg
12,Africa,1925,7928675.0,2171.0,21.30355,Africa_avg
13,Africa,1926,8095309.0,2228.0,21.56393,Africa_avg
14,Africa,1927,8265446.0,2271.0,20.74831,Africa_avg
15,Africa,1928,8439158.0,2444.0,20.16967,Africa_avg
16,Africa,1929,8615057.0,2386.0,20.64104,Africa_avg
17,Africa,1930,8793161.0,2252.0,22.95828,Africa_avg
18,Africa,1931,8973484.0,2128.0,24.47886,Africa_avg
19,Africa,1932,9156043.0,2047.0,24.83259,Africa_avg
20,Africa,1933,9340853.0,2268.0,25.7702,Africa_avg
21,Africa,1934,9529394.0,2514.0,23.72051,Africa_avg
22,Africa,1935,9721741.0,2785.0,21.58426,Africa_avg
23,Africa,1936,9917969.0,3048.0,20.13558,Africa_avg
24,Africa,1937,10118159.0,3249.0,18.67563,Africa_avg
25,Africa,1938,10322389.0,3118.0,19.88863,Africa_avg
26,Africa,1939,10528607.0,3272.0,20.44624,Africa_avg
27,Africa,1940,10736810.0,3419.0,30.71529,Africa_avg
28,Africa,1941,10946998.0,3510.0,28.74793,Africa_avg
29,Africa,1942,11159168.0,3548.0,31.45151,Africa_avg
30,Africa,1943,11373317.0,3558.0,31.98489,Africa_avg
31,Africa,1944,11591575.0,3610.0,32.05846,Africa_avg
32,Africa,1945,11814022.0,3631.0,30.88708,Africa_avg
33,Africa,1946,12040737.0,3684.0,27.3623,Africa_avg
34,Africa,1947,12271803.0,3647.0,24.66137,Africa_avg
35,Africa,1948,12507304.0,3848.0,25.79843,Africa_avg
36,Africa,1949,12764367.0,3819.0,24.96829,Africa_avg
37,Africa,1950,13043843.0,4041.0,20.26524,Africa_avg
38,Africa,1951,13325058.0,4130.0,19.373017,Africa_avg
39,Africa,1952,13622914.0,4175.0,22.443552,Africa_avg
40,Africa,1953,13933250.0,4264.0,22.123979,Africa_avg
41,Africa,1954,14255876.0,4404.0,19.51706,Africa_avg
42,Africa,1955,14594134.0,4511.0,19.413497,Africa_avg
43,Africa,1956,14948935.0,4645.0,17.960699,Africa_avg
44,Africa,1957,15320140.0,4704.0,18.787656,Africa_avg
45,Africa,1958,15700877.0,4685.0,19.703532,Africa_avg
46,Africa,1959,16096459.0,4774.0,19.20192,Africa_avg
47,Africa,1960,16520438.0,4847.0,17.330906,Africa_avg
48,Africa,1961,16989468.0,4929.0,16.443173,Africa_avg
49,Africa,1962,24784330.0,3662.0,14.693067,Africa_avg
50,Africa,1963,25500466.0,3782.0,16.091616000000002,Africa_avg
51,Africa,1964,26243302.0,3876.5,14.064455,Africa_avg
52,Africa,1965,27014926.0,3946.5,16.833517999999998,Africa_avg
53,Africa,1966,27809432.0,3960.0,14.3770065,Africa_avg
54,Africa,1967,28626775.0,4063.5,15.9916885,Africa_avg
55,Africa,1968,29468692.0,4094.0,16.4893875,Africa_avg
56,Africa,1969,30334067.0,4201.0,15.9775695,Africa_avg
57,Africa,1970,31230203.0,4359.0,17.189459,Africa_avg
58,Africa,1971,32140329.0,4484.0,16.778886,Africa_avg
59,Africa,1972,33064462.0,4392.5,18.30055,Africa_avg
60,Africa,1973,34019721.0,4441.0,16.306685,Africa_avg
61,Africa,1974,34996000.0,4586.0,15.3884005,Africa_avg
62,Africa,1975,35987813.0,4398.0,18.22502,Africa_avg
63,Africa,1976,36989306.0,4340.0,18.9891315,Africa_avg
64,Africa,1977,38025342.0,4252.5,19.3718595,Africa_avg
65,Africa,1978,39106685.0,4330.5,17.0615065,Africa_avg
66,Africa,1979,40212696.0,4337.5,18.2555045,Africa_avg
67,Africa,1980,210621169.0,2227.818181818182,21.98800707209091,Africa_avg
68,Africa,1981,216126480.0,2237.181818181818,24.105257361286785,Africa_avg
69,Africa,1982,241780128.0,2090.846153846154,25.738289216837853,Africa_avg
70,Africa,1983,248742785.0,2301.5714285714284,28.242893910509515,Africa_avg
71,Africa,1984,255511699.0,2250.6666666666665,27.831101269258536,Africa_avg
72,Africa,1985,269645209.0,2199.6875,26.85010129872715,Africa_avg
73,Africa,1986,277048014.0,2242.125,28.332310708442574,Africa_avg
74,Africa,1987,285705032.0,2298.1875,27.85993225962698,Africa_avg
75,Africa,1988,298057977.0,2293.6470588235293,29.58000076391093,Africa_avg
76,Africa,1989,312121309.0,2341.1666666666665,31.02128673243577,Africa_avg
77,Africa,1990,416235877.0,2796.0714285714284,29.06256855964286,Africa_avg
78,Africa,1991,466777772.0,2869.0207870967743,29.935660803956768,Africa_avg
79,Africa,1992,494807289.0,2806.4440396969694,30.4971738905401,Africa_avg
80,Africa,1993,507661600.0,2834.5096466666664,30.32239853681161,Africa_avg
81,Africa,1994,347228338.0,3111.5802766666666,30.794201126866668,Africa_avg
82,Africa,1995,371975834.0,3051.5579965624997,28.329649284875,Africa_avg
83,Africa,1996,425890104.0,3128.8838306060607,26.119999777333334,Africa_avg
84,Africa,1997,473443738.0,3303.719340285714,25.582152358457144,Africa_avg
85,Africa,1998,484910849.0,3454.146795714286,26.85041891668571,Africa_avg
86,Africa,1999,496772175.0,3563.3644405714285,26.400474880685714,Africa_avg
87,Africa,2000,705608799.0,3402.7004597872337,26.07983985874468,Africa_avg
88,Africa,2001,723555972.0,3660.417670212766,27.022848548893617,Africa_avg
89,Africa,2002,828701749.0,3837.8033941999997,27.38811676732,Africa_avg
90,Africa,2003,849558916.0,4015.8456912,27.79274224872,Africa_avg
91,Africa,2004,871084008.0,4274.6219386,27.820473780060002,Africa_avg
92,Africa,2005,905571154.0,4455.733469607843,27.14017761127451,Africa_avg
93,Africa,2006,928650567.0,4705.239818823529,27.2793947157451,Africa_avg
94,Africa,2007,952569647.0,5054.908406078432,28.123211474568627,Africa_avg
95,Africa,2008,977243677.0,5400.72117254902,28.99951088627451,Africa_avg
96,Africa,2009,1002664669.0,5473.944490000001,31.557177422941177,Africa_avg
97,Africa,2010,1028824326.0,5627.054212156862,30.78437880784314,Africa_avg
98,Africa,2011,1055459896.0,5501.6274509803925,31.02804242960784,Africa_avg
99,Africa,2012,288793618.0,6700.023616666666,29.734191142581732,Africa_avg
100,Africa,2013,295080094.0,6824.8255,29.980485004069234,Africa_avg
101,Africa,2014,301513316.0,6913.144949999999,30.1823250939282,Africa_avg
102,Africa,2015,410766342.0,6244.549771428572,28.2640662424196,Africa_avg
103,Africa,2016,314611070.0,7059.528783333334,30.454842436023853,Africa_avg
104,Africa,2017,320674222.0,7157.222983333333,30.5256532687745,Africa_avg
105,Africa,2018,327147544.0,7230.566916666667,30.552489791723758,Africa_avg
106,Africa,2019,333691178.0,7277.056016666666,30.535605368798926,Africa_avg
107,Africa,2020,340299466.0,6849.221716666667,30.474999999999998,Africa_avg
108,Americas,1850,25008647.0,2491.91,3.5949999999999998,Americas_avg
109,Americas,1851,25744660.0,2585.1892,3.8825951946896478,Americas_avg
110,Americas,1852,26501584.0,2687.60925,4.152106120285612,Americas_avg
111,Americas,1853,27280024.0,2803.24,4.404196776100178,Americas_avg
112,Americas,1854,28081528.0,2820.52515,4.637489617566052,Americas_avg
113,Americas,1855,28906786.0,2793.24365,4.852698189938242,Americas_avg
114,Americas,1856,29756504.0,2837.3113,5.04982249321675,Americas_avg
115,Americas,1857,30631411.0,2809.17235,5.229328207200661,Americas_avg
116,Americas,1858,31532258.0,2844.9573,5.390234426349078,Americas_avg
117,Americas,1859,32416542.0,2923.88085,5.533056376403812,Americas_avg
118,Americas,1860,33282773.0,2994.94725,5.657794057364863,Americas_avg
119,Americas,1861,34129395.0,2943.45115,5.764714829518118,Americas_avg
120,Americas,1862,34954781.0,2999.9453,5.853234426349078,Americas_avg
121,Americas,1863,35757229.0,3164.7895,5.923669754086355,Americas_avg
122,Americas,1864,36578153.0,3278.06835,5.976020812729949,Americas_avg
123,Americas,1865,37417976.0,3173.5795,6.010356643052548,Americas_avg
124,Americas,1866,38277135.0,3174.9385,6.026489617566053,Americas_avg
125,Americas,1867,39156076.0,3208.7888,6.024538322985872,Americas_avg
126,Americas,1868,40055256.0,3264.9287,6.004502759312009,Americas_avg
127,Americas,1869,40968437.0,3396.066,5.9662536478039545,Americas_avg
128,Americas,1870,47450276.0,2928.250375,6.33,Americas_avg
129,Americas,1871,48499375.0,2989.4520647323043,6.366177899997002,Americas_avg
130,Americas,1872,49567837.0,3025.9878268345637,6.384238156002054,Americas_avg
131,Americas,1873,50655957.0,3160.802666309254,6.384155724100988,Americas_avg
132,Americas,1874,51768426.0,3120.8820166696655,6.365931054741347,Americas_avg
133,Americas,1875,52905795.0,3151.2794249999997,6.329588741389759,Americas_avg
134,Americas,1876,54068637.0,3066.20925,6.294677759714583,Americas_avg
135,Americas,1877,55257528.0,3144.922375,6.280737738040312,Americas_avg
136,Americas,1878,56473067.0,3094.991575,6.287844851348771,Americas_avg
137,Americas,1879,57712965.0,3352.9445,6.315932272002001,Americas_avg
138,Americas,1880,70812319.0,3036.7459000000003,10.836783800000001,Americas_avg
139,Americas,1881,72325495.0,3133.2877,12.452276800000002,Americas_avg
140,Americas,1882,73868948.0,3362.9691399999997,13.4734982,Americas_avg
141,Americas,1883,75443356.0,3401.8262600000003,13.528552600000001,Americas_avg
142,Americas,1884,77052287.0,3480.6268599999994,14.8464358,Americas_avg
143,Americas,1885,78696515.0,3446.8286,13.846172200000002,Americas_avg
144,Americas,1886,80376836.0,3452.94208,13.1499528,Americas_avg
145,Americas,1887,82094058.0,3527.3966800000003,12.9698532,Americas_avg
146,Americas,1888,83849012.0,3569.0568,12.117179400000001,Americas_avg
147,Americas,1889,85607014.0,3652.3379,14.897728599999999,Americas_avg
148,Americas,1890,87367581.0,3659.31006,13.3292612,Americas_avg
149,Americas,1891,89130203.0,3694.4218,10.557279,Americas_avg
150,Americas,1892,90894358.0,3871.6126000000004,9.8709782,Americas_avg
151,Americas,1893,92659499.0,3779.4498999999996,8.8878626,Americas_avg
152,Americas,1894,94460485.0,3832.6556599999994,9.4623736,Americas_avg
153,Americas,1895,96298078.0,4126.70126,9.772025600000001,Americas_avg
154,Americas,1896,98173057.0,4108.534799999999,10.822433,Americas_avg
155,Americas,1897,100086223.0,4004.2684,9.9210702,Americas_avg
156,Americas,1898,102038390.0,4163.3822,14.137305799999998,Americas_avg
157,Americas,1899,104053220.0,4440.02988,10.0226356,Americas_avg
158,Americas,1900,123050613.0,3489.510185714286,8.553895857142857,Americas_avg
159,Americas,1901,125387325.0,3680.051857142857,8.395169285714285,Americas_avg
160,Americas,1902,127783649.0,3693.3182857142856,7.855242428571429,Americas_avg
161,Americas,1903,130241311.0,3796.4782857142854,8.227747571428571,Americas_avg
162,Americas,1904,132750144.0,3833.3797142857143,8.738393,Americas_avg
163,Americas,1905,139768772.0,3669.4165000000003,8.057478,Americas_avg
164,Americas,1906,142474768.0,3880.8891249999997,7.8324571249999995,Americas_avg
165,Americas,1907,145237367.0,3914.318,8.67312825,Americas_avg
166,Americas,1908,148057853.0,3796.9970000000003,8.2701285,Americas_avg
167,Americas,1909,150786513.0,3983.6397500000003,7.995220875,Americas_avg
168,Americas,1910,153419904.0,4091.347875,7.6173508750000005,Americas_avg
169,Americas,1911,155954477.0,4122.86125,7.6126745,Americas_avg
170,Americas,1912,158386555.0,4260.695874999999,7.891460875,Americas_avg
171,Americas,1913,160712363.0,4265.74625,7.979250625000001,Americas_avg
172,Americas,1914,163078702.0,3855.5465,8.408068983628382,Americas_avg
173,Americas,1915,165486320.0,3880.147125,7.731815353791132,Americas_avg
174,Americas,1916,167935982.0,4207.79,7.723630105714599,Americas_avg
175,Americas,1917,170428469.0,4151.50975,7.479117,Americas_avg
176,Americas,1918,173011208.0,4266.78825,9.811226375,Americas_avg
177,Americas,1919,175694491.0,4140.3475,10.14320025,Americas_avg
178,Americas,1920,181735850.0,3938.769666666666,7.801405555555555,Americas_avg
179,Americas,1921,184653550.0,3743.2090000000003,8.484775666666668,Americas_avg
180,Americas,1922,187679920.0,3947.079444444444,8.086012,Americas_avg
181,Americas,1923,190816977.0,4263.582555555556,7.389017555555556,Americas_avg
182,Americas,1924,194009632.0,4350.412555555556,7.052735,Americas_avg
183,Americas,1925,197258940.0,4433.308,7.604334555555555,Americas_avg
184,Americas,1926,200565983.0,4573.307555555555,7.955015555555556,Americas_avg
185,Americas,1927,204878175.0,4394.3396999999995,7.859193,Americas_avg
186,Americas,1928,208330620.0,4661.5069,8.082459,Americas_avg
187,Americas,1929,211617133.0,4724.2235,8.0681859,Americas_avg
188,Americas,1930,214732940.0,4365.198200000001,8.9781234,Americas_avg
189,Americas,1931,217673150.0,3970.6964,9.5508875,Americas_avg
190,Americas,1932,220432764.0,3541.9504,10.3546131,Americas_avg
191,Americas,1933,223006660.0,3612.8224600000003,10.1388717,Americas_avg
192,Americas,1934,225617397.0,3869.9092000000005,9.5017316,Americas_avg
193,Americas,1935,228265578.0,4158.4839,9.523867599999999,Americas_avg
194,Americas,1936,230951826.0,4350.0013,9.6412502,Americas_avg
195,Americas,1937,233676769.0,4555.3099,9.3436834,Americas_avg
196,Americas,1938,236441049.0,4544.8134,9.6646136,Americas_avg
197,Americas,1939,239592245.0,4701.2448,10.240984000000001,Americas_avg
198,Americas,1940,243142414.0,4916.0095,10.709642800000001,Americas_avg
199,Americas,1941,247103954.0,5194.2401,11.355216799999999,Americas_avg
200,Americas,1942,251489626.0,5382.886100000001,14.4373736,Americas_avg
201,Americas,1943,256312554.0,5581.2218,17.0147463,Americas_avg
202,Americas,1944,261239308.0,5850.8328,16.951071,Americas_avg
203,Americas,1945,269322702.0,5523.959363636363,15.923858090909091,Americas_avg
204,Americas,1946,275280840.0,5332.705583333333,12.744633083333333,Americas_avg
205,Americas,1947,280590656.0,5315.71225,11.562398666666667,Americas_avg
206,Americas,1948,286015621.0,5533.769333333334,11.234531833333333,Americas_avg
207,Americas,1949,291756752.0,5489.6393333333335,11.7990635,Americas_avg
208,Americas,1950,300049471.0,5481.0,12.62019623076923,Americas_avg
209,Americas,1951,306500360.0,5696.153846153846,12.537307846153848,Americas_avg
210,Americas,1952,313144557.0,5794.692307692308,13.193004846153846,Americas_avg
211,Americas,1953,323506343.0,5608.357142857143,12.787228285714287,Americas_avg
212,Americas,1954,330897330.0,5607.142857142857,12.820117071428571,Americas_avg
213,Americas,1955,340975889.0,6000.2,12.833244466666667,Americas_avg
214,Americas,1956,350060930.0,5971.6875,13.12154325,Americas_avg
215,Americas,1957,358197350.0,6098.4375,13.0943764375,Americas_avg
216,Americas,1958,366756450.0,6092.25,14.341483437499999,Americas_avg
217,Americas,1959,375421170.0,6098.875,14.657063625000001,Americas_avg
218,Americas,1960,385744263.0,6089.882352941177,14.55151405882353,Americas_avg
219,Americas,1961,390533993.0,6479.375,15.7441115,Americas_avg
220,Americas,1962,399292050.0,6676.5625,16.5768851875,Americas_avg
221,Americas,1963,412208712.0,6521.529411764706,16.195909999999998,Americas_avg
222,Americas,1964,416899055.0,7105.25,16.579737125,Americas_avg
223,Americas,1965,429887872.0,6995.470588235294,15.692313882352941,Americas_avg
224,Americas,1966,438441606.0,7228.117647058823,16.33645682352941,Americas_avg
225,Americas,1967,449099771.0,7053.5,16.44786661111111,Americas_avg
226,Americas,1968,457591198.0,7234.277777777777,16.666811555555554,Americas_avg
227,Americas,1969,466266486.0,7454.888888888889,17.119945055555558,Americas_avg
228,Americas,1970,475449379.0,7623.277777777777,17.466734944444443,Americas_avg
229,Americas,1971,484872784.0,7830.166666666667,18.149317166666666,Americas_avg
230,Americas,1972,494040893.0,8020.833333333333,19.040911277777777,Americas_avg
231,Americas,1973,503032713.0,8329.166666666666,18.48860811111111,Americas_avg
232,Americas,1974,512056813.0,8531.444444444445,19.89717561111111,Americas_avg
233,Americas,1975,521221174.0,8536.611111111111,20.917796111111112,Americas_avg
234,Americas,1976,530456893.0,8798.055555555555,20.173086333333334,Americas_avg
235,Americas,1977,540015735.0,9045.666666666666,21.102173388888886,Americas_avg
236,Americas,1978,550024363.0,9251.888888888889,21.975921500000002,Americas_avg
237,Americas,1979,560268929.0,9448.555555555555,21.50824411111111,Americas_avg
238,Americas,1980,570642629.0,9583.555555555555,22.53629677777778,Americas_avg
239,Americas,1981,580752948.0,9610.333333333334,23.929018555555555,Americas_avg
240,Americas,1982,590629468.0,9198.944444444445,28.061410388888888,Americas_avg
241,Americas,1983,600586479.0,9008.111111111111,27.59127461111111,Americas_avg
242,Americas,1984,610535027.0,9201.666666666666,26.384041944444444,Americas_avg
243,Americas,1985,620461950.0,9263.777777777777,25.811504499999998,Americas_avg
244,Americas,1986,630379916.0,9478.388888888889,25.67100327777778,Americas_avg
