Year,Time to feed family (Hours)
1200,3.14
1210,4.58
1220,5.26
1230,5.21
1240,5.18
1250,5.34
1260,5.15
1270,7.68
1280,6.2
1290,8.02
1300,6.42
1310,8.96
1320,7.09
1330,5.63
1340,5.58
1350,4.05
1360,3.96
1370,3.87
1380,2.73
1390,2.99
1400,2.88
1410,2.94
1420,2.44
1430,3.03
1440,2.35
1450,2.51
1460,2.68
1470,2.79
1480,3.15
1490,2.75
1500,3.2
1510,3.11
1520,4.08
1530,4.6
1540,4.26
1550,5.37
1560,4.04
1570,4.22
1580,4.91
1590,6.87
1600,6.32
1610,7.05
1620,6.69
1630,7.54
1640,7.31
1650,6.43
1660,6.09
1670,6.25
1680,5.39
1690,7.18
1700,5.39
1710,6.35
1720,6.19
1730,4.67
1740,4.91
1750,5.55
1760,5.77
1770,6.38
1780,6.11
1790,6.37
1800,7.33
1810,6.84
1820,5.18
1830,4.92
1840,4.93
1850,4.23
1860,3.91
1870,3.94
1880,3.51
1890,2.43
1900,2.07
1905,2.05
1910,2.13
1918,2
1920,1.96
1925,1.53
1931,1.02
1935,1
1940,1.09
1945,0.68
1950,0.64
1955,0.73
1960,0.96
1965,0.98
1970,0.74
1975,0.75
1980,0.87
1985,0.7
1990,0.68
1995,0.61
2000,0.47
2005,0.47
2010,0.68
2015,0.52
2020,0.41